RBD;DV_RBD;NOM_RBD;RBD_A1;RBD_A2;COD_DEPE;COD_DEPE2;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2018_25;SEL2018_35;SEL
6963;9;ESCUELA CENTROS UNIDOS SAN JUAN; ; ;3;2;14;141;14104;LOS LAGOS;141;VALDIVIA;2;41,7352678745644;61,1911456274808;46,66;100;20,5;96,2997063579327;1422;59,5861052880287;2;2;3
6964;7;ESCUELA PARTICULAR LOS MAITENES; ; ;3;2;14;141;14104;LOS LAGOS;141;VALDIVIA;2;38,0070721184992;56,2710850617073;0;100;0;94,027632028543;1422;52,5045995474022;2;2;3
6965;5;ESCUELA PARTICULAR HUAIQUIMILLA; ; ;3;2;14;141;14104;LOS LAGOS;141;VALDIVIA;2;41,7352678745644;61,1911456274808;41,3777777777778;100;52;92,8953268474929;1422;60,0952084623986;2;2;3
6969;8;ESCUELA PARTICULAR EL FAROL; ; ;3;2;14;141;14104;LOS LAGOS;141;VALDIVIA;2;45,4048662417362;60,9148932022543;0;100;0;97,2281734971436;1421;57,2461687754452;2;2;3
6970;1;ESCUELA PARTICULAR PATAGONIA; ; ;3;2;14;141;14104;LOS LAGOS;141;VALDIVIA;2;41,7352678745644;61,1911456274808;82,2777777777778;100;48,5;98,6518375813488;1422;63,6406408238469;2;2;3
6972;8;ESCUELA COLEGUAL NUM.32; ; ;3;2;14;141;14104;LOS LAGOS;141;VALDIVIA;2;41,7352678745644;61,1911456274808;70,6333333333333;100;47,3333333333333;92,8953268474929;1422;61,6172084623986;2;2;3
6975;2;ESCUELA PARTICULAR COVADONGA; ; ;3;2;14;141;14104;LOS LAGOS;141;VALDIVIA;2;36,3399218382528;60,9148932022543;69,0555555555555;100;44,5;93,328611512458;1421;59,4025690428588;2;2;3
6978;7;ESCUELA PARTICULAR SANTA ANA; ; ;3;2;14;141;14104;LOS LAGOS;141;VALDIVIA;2;41,7352678745644;61,1911456274808;0;100;0;89,4290495277723;1422;54,2499607853934;2;2;3
6982;5;ESCUELA PARTICULAR MI TIERRA; ; ;3;2;14;141;14104;LOS LAGOS;141;VALDIVIA;2;45,4048662417362;60,9148932022543;74,1888888888889;87,5;60,3333333333333;89,8623341927374;1421;62,8436841284758;2;2;3
6983;3;ESCUELA BASICA JOSE M. BALMACEDA F.; ; ;2;1;14;142;14202;FUTRONO;142;RANCO;1;44,3905163994237;64,6311203506653;97,55;87,5;99,1666666666667;95,6488858380315;1432;68,1252929836733;2;1;2
6984;1;ESCUELA RURAL NONTUELA; ; ;2;1;14;142;14202;FUTRONO;142;RANCO;2;47,8231011361557;57,0932174011913;100;100;98,3333333333333;97,0179471248892;1421;67,9412633268535;2;2;3
6986;8;ESCUELA FRONTERIZA DE LLIFEN; ; ;2;1;14;142;14202;FUTRONO;142;RANCO;2;51,0009800561123;65,9971208480214;88,9;100;68,6;94,9507470375476;1421;69,002720806468;2;1;2
6988;4;ESCUELA RURAL LONCOPAN BAJO; ; ;2;1;14;142;14202;FUTRONO;142;RANCO;2;45,4048662417362;60,9148932022543;0;100;0;90,7289035226675;1421;55,8163293810605;2;2;3
6989;2;ESCUELA RURAL LOS CERRILLOS; ; ;2;1;14;142;14202;FUTRONO;142;RANCO;2;32,4221817317071;60,7785173665586;78,4333333333333;100;67;93,8760568056585;1422;59,7229246006129;2;2;3
6990;6;ESCUELA RURAL EL LLOLLY; ; ;2;1;14;141;14107;PAILLACO;141;VALDIVIA;2;65,0142041706508;60,7785173665586;95,3555555555555;100;98,6;97,399809746794;1421;75,1525318834052;1;2;1
6991;4;ESCUELA RURAL ISLA HUAPI; ; ;2;1;14;142;14202;FUTRONO;142;RANCO;2;40,669339576846;60,7785173665586;0;100;0;96,8010368160917;1422;55,3618686056096;2;2;3
6992;2;ESCUELA RURAL VISTA HERMOSA; ; ;2;1;14;142;14202;FUTRONO;142;RANCO;2;41,7352678745644;61,1911456274808;80,5444444444444;100;89,3333333333333;95,0617501723182;1422;64,7884882605268;2;2;3
6996;5;ESCUELA RURAL PUMOL; ; ;2;1;14;142;14202;FUTRONO;142;RANCO;2;47,1140962739118;60,7785173665586;84,4777777777778;100;86;97,2281734971436;1422;67,209065320022;2;1;2
7000;9;ESCUELA RURAL HUEINAHUE; ; ;2;1;14;142;14202;FUTRONO;142;RANCO;2;34,332860592087;60,7785173665586;84,3777777777778;100;78,25;97,2281734971436;1421;62,0865081177469;2;2;3
7003;3;ESCUELA RURAL CURRINE; ; ;2;1;14;142;14202;FUTRONO;142;RANCO;2;53,0834587926795;60,1924671686742;82,64;100;93,75;95,3091725027483;1422;69,1086885111248;1;2;1
7004;1;COLEGIO MARIA DEOGRACIA; ; ;3;2;14;142;14202;FUTRONO;142;RANCO;1;47,9624911531725;54,3784494872624;90,12;99,8263888888889;64,75;96,688145264413;1432;64,8847073190559;2;2;3
7006;8;LICEO SAN CONRADO DE FUTRONO; ; ;3;2;14;142;14202;FUTRONO;142;RANCO;1;50,2908329441537;64,6629829746849;87,4636363636364;100;77,5;93,5821589548674;1432;68,4241365741377;1;2;1
7009;2;ESCUELA PARTICULAR CHOLLINCO; ; ;3;2;14;142;14202;FUTRONO;142;RANCO;2;62,6066623308715;65,7964053295036;91,1222222222222;100;99,6;95,615301605306;1422;75,0701582411841;1;2;1
7011;4;ESCUELA PARTICULAR CHIHUIO; ; ;3;2;14;142;14202;FUTRONO;142;RANCO;2;35,9263508672055;60,7785173665586;80,4666666666667;100;96,2;93,8333419608151;1422;62,5920699148818;2;2;3
7013;0;ESCUELA PARTICULAR NONTUELA ALTO; ; ;3;2;14;142;14202;FUTRONO;142;RANCO;2;17,9153408672215;60,7785173665586;61,16;100;35,6;91,4132101391682;1422;51,2071672141254;2;2;3
7015;7;LICEO CARLOS HAVERBECK RICHTER; ; ;2;1;14;141;14102;CORRAL;141;VALDIVIA;1;47,4208859941336;71,7927139846502;92,5181818181818;100;74,5833333333333;95,1648002086442;1432;69,8642013551908;1;2;1
7016;5;ESCUELA BASICA DE CORRAL; ; ;2;1;14;141;14102;CORRAL;141;VALDIVIA;1;41,8946007600181;69,8521655638003;93,17;87,5;83,0833333333333;96,0020059098753;1412;67,67441660591;2;2;3
7018;1;ESCUELA RURAL TRES CHIFLONES ALTO; ; ;2;1;14;141;14102;CORRAL;141;VALDIVIA;2;41,7352678745644;61,1911456274808;65,0555555555556;75;61,3333333333333;86,3960568730168;1422;60,0527024013472;2;2;3
7020;3;ESCUELA RURAL CARBONEROS; ; ;2;1;14;141;14102;CORRAL;141;VALDIVIA;2;35,0710457767564;60,7785173665586;85,9888888888889;100;74,6;97,2837293222278;1421;62,2860255842597;2;2;3
7023;8;ESCUELA RURAL LA AGUADA; ; ;2;1;14;141;14102;CORRAL;141;VALDIVIA;2;42,8344042881702;64,3983227292717;82,8111111111111;100;69,8;97,349362937125;1421;65,7557864636532;2;2;3
7024;6;ESCUELA RURAL SAN CARLOS; ; ;2;1;14;141;14102;CORRAL;141;VALDIVIA;2;35,1245516883142;60,7785173665586;72,4222222222222;87,5;65;97,2281734971436;1422;60,7496004900176;2;2;3
