RBD;DV_RBD;NOM_RBD;COD_DEPE2;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2022_25;SEL2022_35;SEL
10572;4;LICEO FRAY LUIS BELTRAN;1;13;13105;EL BOSQUE;0;36.94;62.52985;82.3125;89.18919;33.0;95.72668;1333;60.6086;2;2;3
10573;2;CENTRO EDUCACIONAL MATIAS COUSINO;1;13;13105;EL BOSQUE;0;26.45359;64.87818;99.38889;100.0;60.4;74.64492;1333;55.3589;2;2;3
10574;0;ESCUELA ESPANA;1;13;13401;SAN BERNARDO;0;33.30115;52.19056;93.9375;98.64865;84.4;80.40039;1313;56.4521;2;2;3
10576;7;ESCUELA IGNACIO CARRERA PINTO;1;13;13401;SAN BERNARDO;0;18.406;62.19427;85.3;100.0;84.6;73.97533;1313;51.8472;2;2;3
10578;3;ESCUELA STA. TERESA DE LOS MORROS;1;13;13401;SAN BERNARDO;0;26.69052;59.73721;91.2;100.0;86.8;89.81346;1313;58.1729;2;2;3
10579;1;ESCUELA JOSE NUEZ MARTIN;1;13;13401;SAN BERNARDO;0;39.09282;63.57893;97.775;100.0;89.0;87.81949;1312;63.9032;2;2;3
10580;5;ESCUELA ABRAHAM LINCOLN;1;13;13401;SAN BERNARDO;0;36.70966;57.68062;98.2625;98.64865;87.8;87.88526;1312;61.3266;2;2;3
10581;3;ESCUELA BASICA ANTUPILLAN;1;13;13401;SAN BERNARDO;0;34.52506;64.87925;98.75;100.0;71.2;90.33203;1313;62.2985;2;1;2
10584;8;LICEO DE ADULTOS PUCARA DE CHENA;1;13;13401;SAN BERNARDO;0;36.94;62.52985;93.18889;98.64865;73.5;95.56202;1333;63.4391;2;1;2
10586;4;ESCUELA ELEODORO YANEZ PONCE DE LEON;1;13;13401;SAN BERNARDO;0;33.3794;67.78905;93.875;100.0;62.8;84.91286;1322;60.7846;2;2;3
10588;0;LICEO CARDENAL ANTONIO SAMORE;1;13;13401;SAN BERNARDO;0;33.57758;64.28305;81.8125;98.64865;63.4;70.85271;1333;56.0623;2;2;3
10589;9;ESCUELA HARAS LOS CONDORES;1;13;13401;SAN BERNARDO;0;41.243;68.99079;89.3125;100.0;80.6;87.68957;1322;65.2578;1;2;1
10590;2;ESCUELA TERESA GARCIA HUIDOBRO;1;13;13401;SAN BERNARDO;0;33.72684;59.47689;0.0;97.2973;0.0;84.30803;1322;49.6262;2;2;3
10592;9;LICEO CLARA SOLOVERA;1;13;13401;SAN BERNARDO;0;29.15181;61.02127;96.77778;100.0;54.4;80.8235;1333;56.18;2;2;3
10594;5;COLEGIO SAINT ARIELI;2;13;13401;SAN BERNARDO;0;44.59589;60.02358;83.5;100.0;85.8;86.53913;1332;63.6457;2;2;3
10595;3;ESCUELA BASICA PARTICULAR ROBERTO LORCA;2;13;13401;SAN BERNARDO;0;40.99167;63.43078;77.75;94.59459;37.6;82.46454;1312;59.5066;2;2;3
10600;3;COLEGIO MONTESSORI;2;13;13401;SAN BERNARDO;0;51.57485;63.31088;87.2;100.0;89.4;84.28138;1332;67.0536;2;1;2
10601;1;ESCUELA PARTICULAR SAN BERNARDO;2;13;13401;SAN BERNARDO;0;34.54298;62.47205;0.0;100.0;0.0;92.31885;1313;52.5832;2;2;3
