comuna;cut_comuna;region;cut_region;fecha;delito;delito_n
Panguipulli;14108;Los Ríos;14;2020-08-01;Violencia intrafamiliar a adulto mayor;4,000
Marchihue;6204;Libertador Gral. Bernardo O'Higgins;6;2019-07-01;Ofensas al pudor;0,000
Huara;1404;Tarapacá;1;2022-02-01;Abigeato;0,000
Lota;8106;Biobío;8;2024-03-01;Robos con violencia o intimidación;4,000
San Vicente;6117;Libertador Gral. Bernardo O'Higgins;6;2023-11-01;Otras infracciones a la ley de drogas;1,000
Fresia;10104;Los Lagos;10;2021-12-01;Comercio ilegal;1,000
San Gregorio;12104;Magallanes y de la Antártica Chilena;12;2019-09-01;Otros delitos sexuales;0,000
Curacaví;13503;Metropolitana de Santiago;13;2018-01-01;Robo en lugar habitado;13,000
Purranque;10303;Los Lagos;10;2019-02-01;Porte de arma cortante o punzante;0,000
Freirina;3303;Atacama;3;2020-10-01;Animales sueltos en la vía pública;1,000
Putre;15201;Arica y Parinacota;15;2023-04-01;Robo con violación;0,000
Tortel;11303;Aysén del General Carlos Ibáñez del Campo;11;2021-04-01;Otras infracciones a la ley de drogas;0,000
Concón;5103;Valparaíso;5;2022-10-01;Abigeato;0,000
Andacollo;4103;Coquimbo;4;2018-01-01;Hurtos;3,000
Caldera;3102;Atacama;3;2023-06-01;Elaboración o producción de sustancias;0,000
Guaitecas;11203;Aysén del General Carlos Ibáñez del Campo;11;2022-08-01;Femicidio;0,000
Quellón;10208;Los Lagos;10;2020-06-01;Tráfico de sustancias;0,000
Molina;7304;Maule;7;2018-08-01;Amenazas con armas;2,000
Timaukel;12303;Magallanes y de la Antártica Chilena;12;2021-07-01;Consumo de alcohol y drogas en la vía pública;0,000
Lota;8106;Biobío;8;2023-08-01;Violencia intrafamiliar a adulto mayor;2,000
San Bernardo;13401;Metropolitana de Santiago;13;2022-04-01;Abusos sexuales;22,000
Pucón;9115;La Araucanía;9;2019-01-01;Microtráfico de sustancias;11,000
Traiguén;9210;La Araucanía;9;2019-10-01;Amenazas o riña;7,000
Purranque;10303;Los Lagos;10;2021-08-01;Femicidio no íntimo;0,000
Nueva Imperial;9111;La Araucanía;9;2021-12-01;Amenazas con armas;0,000
Catemu;5702;Valparaíso;5;2023-03-01;Elaboración o producción de sustancias;0,000
San Ignacio;16108;Ñuble;16;2019-11-01;Abigeato;0,000
Conchalí;13104;Metropolitana de Santiago;13;2022-10-01;Tortura o apremios ilegítimos con violación;0,000
San José de Maipo;13203;Metropolitana de Santiago;13;2021-09-01;Tráfico de sustancias;0,000
Pichilemu;6201;Libertador Gral. Bernardo O'Higgins;6;2023-02-01;Lesiones leves;19,000
Huasco;3304;Atacama;3;2022-05-01;Amenazas o riña;7,000
