comuna;cut_comuna;region;cut_region;fecha;delito;delito_n
Punta Arenas;12101;Magallanes y de la Antártica Chilena;12;2018-01-01;Otras violaciones;3,000
Mejillones;2102;Antofagasta;2;2019-11-01;Violencia intrafamiliar no clasificada;0,000
Quilaco;8308;Biobío;8;2020-12-01;Lesiones leves;1,000
Rauco;7305;Maule;7;2021-06-01;Amenazas con armas;1,000
Antofagasta;2101;Antofagasta;2;2018-03-01;Violencia intrafamiliar a niño o niña;5,000
Camiña;1402;Tarapacá;1;2018-04-01;Consumo de alcohol y drogas en la vía pública;11,000
Curaco de Vélez;10204;Los Lagos;10;2020-06-01;Violencia intrafamiliar a adulto mayor;1,000
Vichuquén;7309;Maule;7;2020-03-01;Suicidio femicida;0,000
San Felipe;5701;Valparaíso;5;2019-04-01;Robo de objetos de o desde vehículo;12,000
El Bosque;13105;Metropolitana de Santiago;13;2019-12-01;Homicidios;0,000
Pudahuel;13124;Metropolitana de Santiago;13;2018-10-01;Daños;77,000
Olivar;6111;Libertador Gral. Bernardo O'Higgins;6;2018-03-01;Ofensas al pudor;0,000
Maullín;10108;Los Lagos;10;2024-01-01;Hurtos;6,000
Peñalolén;13122;Metropolitana de Santiago;13;2019-11-01;Porte de arma cortante o punzante;1,000
San Carlos;16301;Ñuble;16;2023-10-01;Robo frustrado;3,000
Santa Bárbara;8311;Biobío;8;2019-02-01;Tortura o apremios ilegítimos con violación;0,000
Colina;13301;Metropolitana de Santiago;13;2024-01-01;Otras violaciones;3,000
Empedrado;7104;Maule;7;2022-09-01;Auxilio al suicidio;0,000
Maullín;10108;Los Lagos;10;2019-12-01;Daños;7,000
San Nicolás;16305;Ñuble;16;2018-04-01;Suicidio femicida;0,000
Timaukel;12303;Magallanes y de la Antártica Chilena;12;2018-05-01;Consumo de alcohol y drogas en la vía pública;0,000
Los Andes;5301;Valparaíso;5;2019-07-01;Abusos sexuales;3,000
Andacollo;4103;Coquimbo;4;2022-07-01;Otras infracciones a la ley de drogas;0,000
Calama;2201;Antofagasta;2;2022-03-01;Robo en lugar habitado;51,000
Linares;7401;Maule;7;2021-09-01;Violencia intrafamiliar a mujer;80,000
Teodoro Schmidt;9117;La Araucanía;9;2021-09-01;Otros robos con fuerza en las cosas;0,000
Purén;9208;La Araucanía;9;2021-10-01;Violencia intrafamiliar a hombre;0,000
General Lagos;15202;Arica y Parinacota;15;2018-12-01;Violencia intrafamiliar a niño o niña;0,000
Ollagüe;2202;Antofagasta;2;2019-11-01;Tortura o apremios ilegítimos con violación;0,000
Angol;9201;La Araucanía;9;2023-11-01;Microtráfico de sustancias;3,000
Viña del Mar;5109;Valparaíso;5;2023-01-01;Robo de vehículo motorizado;105,000
Río Hurtado;4305;Coquimbo;4;2021-01-01;Delitos asociados a drogas;0,000
Primavera;12302;Magallanes y de la Antártica Chilena;12;2022-08-01;Violencia intrafamiliar a niño o niña;0,000
Santa Juana;8109;Biobío;8;2018-01-01;Femicidio;0,000
Colbún;7402;Maule;7;2020-07-01;Animales sueltos en la vía pública;2,000
Quellón;10208;Los Lagos;10;2022-11-01;Femicidio;0,000
Curacaví;13503;Metropolitana de Santiago;13;2021-09-01;Robo de objetos de o desde vehículo;5,000
San Clemente;7109;Maule;7;2019-06-01;Auxilio al suicidio;0,000
General Lagos;15202;Arica y Parinacota;15;2018-03-01;Elaboración o producción de sustancias;0,000
Diego de Almagro;3202;Atacama;3;2023-02-01;Porte / posesión de armas o explosivos;0,000
Ercilla;9204;La Araucanía;9;2023-04-01;Violencia intrafamiliar a hombre;0,000
Chillán Viejo;16103;Ñuble;16;2023-08-01;Suicidio femicida;0,000
Las Condes;13114;Metropolitana de Santiago;13;2022-12-01;Tortura o apremios ilegítimos con violación;0,000
General Lagos;15202;Arica y Parinacota;15;2023-11-01;Delitos asociados a drogas;0,000
Puyehue;10304;Los Lagos;10;2020-07-01;Femicidio;0,000
Chillán;16101;Ñuble;16;2022-02-01;Otras violaciones;1,000
Cabildo;5402;Valparaíso;5;2020-04-01;Daños;10,000
Santiago;13101;Metropolitana de Santiago;13;2021-01-01;Amenazas o riña;208,000
Caldera;3102;Atacama;3;2020-08-01;Violencia intrafamiliar no clasificada;0,000
San Pablo;10307;Los Lagos;10;2021-07-01;Robo con homicidio;0,000
Peñaflor;13605;Metropolitana de Santiago;13;2021-11-01;Robos con violencia o intimidación;9,000
Arica;15101;Arica y Parinacota;15;2023-05-01;Otros robos con fuerza en las cosas;10,000
La Higuera;4104;Coquimbo;4;2018-09-01;Robo con homicidio;0,000
Isla de Pascua;5201;Valparaíso;5;2021-04-01;Violencia intrafamiliar a niño o niña;1,000
San Rosendo;8310;Biobío;8;2024-01-01;Desórdenes públicos;0,000
Paine;13404;Metropolitana de Santiago;13;2019-11-01;Lesiones graves o gravísimas;2,000
Panguipulli;14108;Los Ríos;14;2018-05-01;Porte de arma cortante o punzante;0,000
Hualpén;8112;Biobío;8;2023-05-01;Delitos asociados a drogas;3,000
Quinta de Tilcoco;6114;Libertador Gral. Bernardo O'Higgins;6;2019-03-01;Femicidio no íntimo;0,000
